order_number,booked_at,click_id,state,price_amount,price_currency,profit_amount,profit_currency
40827005,2025-09-03T19:19:55.287Z,3165403152270683136,paid,43294,rub,1948.23,rub
40824884,2025-09-03T11:35:27.871Z,3165167250123261952,paid,14300,rub,643.5,rub
40826305,2025-09-03T17:01:07.646Z,3165333303904227488,cancelled,26460,rub,0,rub
40826354,2025-09-03T17:11:41.077Z,3165340875081692416,cancelled,3309,rub,82.73,rub
40823989,2025-09-03T08:19:08.541Z,3165072628874738944,paid,5248,rub,236.16,rub
40826982,2025-09-03T19:12:36.106Z,3165399299297764928,paid,25421,rub,635.53,rub
40827292,2025-09-03T20:54:40.958Z,3165448682109718240,paid,162834,rub,7327.53,rub
40825781,2025-09-03T14:58:54.396Z,3165273844738878464,paid,7650,rub,306,rub
40823416,2025-09-03T05:40:18.648Z,3164991852106347616,paid,17223,rub,430.58,rub
40823302,2025-09-03T05:00:11.870Z,3164966892222674016,cancelled,15404,rub,385.1,rub
40824894,2025-09-03T11:38:39.422Z,3165172672722714784,cancelled,6842,rub,171.05,rub
40824546,2025-09-03T10:20:32.870Z,3165131646060726272,cancelled,105872,rub,2646.8,rub
40823322,2025-09-03T05:08:21.646Z,3164973227587375552,cancelled,10202,rub,255.05,rub
40826254,2025-09-03T16:50:37.977Z,3165329403399984480,cancelled,17105,rub,427.63,rub
40826947,2025-09-03T19:04:21.405Z,3165396011214932032,paid,7167,rub,179.18,rub
40826660,2025-09-03T18:10:50.610Z,3165369780843368608,paid,43262,rub,1946.79,rub
40824621,2025-09-03T10:36:20.537Z,3165135182003373280,paid,61737,rub,1543.43,rub
40825740,2025-09-03T14:47:04.827Z,3165266976160310304,paid,47024,rub,2116.08,rub
40825898,2025-09-03T15:32:30.725Z,3165289823601334528,paid,30476,rub,1371.42,rub
40826167,2025-09-03T16:30:21.893Z,3165319558261421312,paid,54875,rub,1371.88,rub
40823950,2025-09-03T08:09:21.700Z,3165066302849285376,paid,11560,rub,289,rub
40824355,2025-09-03T09:33:28.010Z,3165108836440247424,paid,30167,rub,1357.51,rub
40827344,2025-09-03T21:16:35.836Z,3165463924443294880,cancelled,6476,rub,0,rub
40823718,2025-09-03T07:09:47.181Z,3165037194850634880,cancelled,31786,rub,794.65,rub
40823599,2025-09-03T06:37:02.068Z,3165020847230969248,cancelled,14734,rub,368.35,rub
40824150,2025-09-03T08:55:17.336Z,3165084555594314368,cancelled,39747,rub,993.68,rub
