Номера заказа,,Дата сделки,Вид операции,Вид возврата / обмена,Лид,АК,Тип,Классификация направлений,Price,CPA,"CPA, руб."
40823318,06-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-22,640.00",0.025,-566.00,
40823318,06-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-22,640.00",0.025,-566.00,
40823318,06-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-22,640.00",0.025,-566.00,
40823318,06-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-22,640.00",0.025,-566.00,
40816855,08-09-2025,REFUND,В,d1,CZ,Регулярка,RT,"-46,165.00",0.045,"-2,077.43",
40816855,08-09-2025,REFUND,В,d1,CZ,Регулярка,RT,"-46,165.00",0.045,"-2,077.43",
40857852,24-09-2025,REFUND,В,d1,У6,Регулярка,OW,"-20,830.00",0.025,-520.75,
40843802,08-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-20,236.00",0.025,-505.90,
40872849,15-09-2025,REFUND,В,d1,А4,Регулярка,OW,"-19,575.00",0.025,-489.38,
40837894,09-09-2025,REFUND,В,d1,C6,Чартер,OW,"-18,409.00",0.045,-828.41,
40850729,11-09-2025,REFUND,В,d1,8M,Регулярка,OW,"-35,218.00",0.045,"-1,584.81",
40850729,11-09-2025,REFUND,В,d1,8M,Регулярка,OW,"-37,418.00",0.045,"-1,683.81",
40825243,15-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-17,891.00",0.025,-447.28,
40823269,04-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-16,960.00",0.025,-424.00,
40871352,24-09-2025,REFUND,В,d1,VF,Регулярка,OW,"-34,516.00",0.045,"-1,553.22",
40871395,15-09-2025,REFUND,В,d1,ТК,Чартер,OW,"-13,664.00",0.045,-614.88,
40871395,15-09-2025,REFUND,В,d1,ТК,Чартер,OW,"-16,088.00",0.045,-723.96,
40845938,09-09-2025,REFUND,В,d1,MU,Регулярка,OW,"-27,929.00",0.045,"-1,256.81",
40823160,23-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-13,678.00",0.025,-341.95,
40825479,29-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-13,469.00",0.025,-336.73,
40823122,12-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-13,230.00",0.025,-330.75,
40823184,17-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-13,202.00",0.025,-330.05,
40831900,05-09-2025,REFUND,В,d1,2S,Чартер,OW,"-13,634.00",0.045,-613.53,
40831900,05-09-2025,REFUND,В,d1,2S,Чартер,OW,"-13,634.00",0.045,-613.53,
40833749,06-09-2025,REFUND,В,d1,C6,Чартер,OW,"-12,976.00",0.045,-583.92,
40865069,22-09-2025,REFUND,В,d1,HU,Регулярка,OW,"-25,544.00",0.045,"-1,149.48",
40823305,11-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-12,644.00",0.025,-316.10,
40874982,15-09-2025,REFUND,В,d1,ТК,Чартер,OW,"-12,845.00",0.045,-578.03,
40814441,06-09-2025,REFUND,В,d1,CZ,Регулярка,OW,"-24,423.00",0.045,"-1,099.04",
40820235,03-09-2025,REFUND,В,d1,ТК,Регулярка,RT,"-24,409.00",0.045,"-1,098.41",
40820235,03-09-2025,REFUND,В,d1,ТК,Регулярка,RT,"-24,409.00",0.045,"-1,098.41",
40820235,03-09-2025,REFUND,В,d1,ТК,Регулярка,RT,"-29,890.00",0.045,"-1,345.05",
40823346,04-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-11,590.00",0.025,-289.75,
40823118,25-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-11,984.00",0.025,-299.60,
40868879,16-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-11,093.00",0.025,-277.33,
40832210,16-09-2025,REFUND,В,d1,2S,Чартер,OW,"-10,993.00",0.045,-494.69,
40840936,07-09-2025,SALE,,d1,CA,Регулярка,OW,"351,267.00",0.045,"15,807.02",
40823118,25-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-9,948.00",0.025,-248.70,
40843942,29-09-2025,REFUND,В,d1,У6,Регулярка,OW,"-20,208.00",0.025,-505.20,
40823240,11-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-9,912.00",0.025,-247.80,
40872593,16-09-2025,REFUND,В,d1,УР,Чартер,OW,"-9,339.00",0.04,-373.56,
40872593,16-09-2025,REFUND,В,d1,УР,Чартер,OW,"-10,643.00",0.04,-425.72,
40868751,18-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-9,483.00",0.025,-237.08,
40877645,15-09-2025,REFUND,В,d1,2S,Чартер,OW,"-9,064.00",0.045,-407.88,
40867210,12-09-2025,SALE,,d1,C6,Регулярка,OW,"18,065.00",0.025,451.63,
40817291,01-09-2025,SALE,,d1,КЛ,Чартер,OW,475.50,0.04,19.02,
40823205,04-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-7,718.00",0.025,-192.95,
40823343,11-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-7,750.00",0.025,-193.75,
40827774,04-09-2025,SALE,,d1,КЛ,Чартер,OW,190.20,0.04,7.61,
40820253,02-09-2025,SALE,,d1,КЛ,Чартер,OW,475.50,0.04,19.02,
40823343,11-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-7,002.00",0.025,-175.05,
40867576,16-09-2025,REFUND,В,d1,VF,Регулярка,OW,"-13,573.00",0.045,-610.79,
40818453,02-09-2025,SALE,,d1,СУ,Чартер,OW,26.00,0.025,0.65,
40823294,04-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-5,777.00",0.025,-144.43,
40823029,25-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-5,514.00",0.025,-137.85,
40823110,25-09-2025,REFUND,В,d1,СУ,Чартер,OW,"-5,502.00",0.025,-137.55,
40863147,11-09-2025,SALE,,d1,JU,Регулярка,RT,"204,253.00",0.045,"9,191.39",
40870456,13-09-2025,SALE,,d1,СУ,Чартер,OW,26.00,0.025,0.65,
40855100,11-09-2025,REFUND,В,d1,УР,Чартер,OW,"-5,406.00",0.04,-216.24,
40870938,13-09-2025,SALE,,d1,EK,Регулярка,RT,"147,052.00",0.045,"6,617.34",
40837736,06-09-2025,SALE,,d1,"JU,QR",Регулярка,OW,"174,781.00",0.045,"7,865.15",
